SRR873382	SRR873383	SRR873384	SRR873385	SRR873386	SRR873387	SRR873388	SRR873389
hsa-miR-1247-5p	206	104	106	158	189	237	152	162
hsa-miR-1248	3	0	0	0	2	3	4	1
hsa-miR-1249	9	9	8	4	2	2	5	7
hsa-miR-1250-3p	0	0	0	0	0	0	0	0
hsa-miR-1250-5p	2	8	8	4	4	10	6	10
hsa-miR-1251-3p	7	6	0	1	5	4	9	5
hsa-miR-1251-5p	248	288	169	155	157	166	176	191
hsa-miR-1252-3p	2	0	0	1	1	0	0	0
hsa-miR-1252-5p	29	32	23	21	30	34	25	20
hsa-miR-1253	0	0	0	2	0	0	0	0
hsa-miR-1254	370	423	272	241	289	513	361	369
hsa-miR-1255a	90	102	158	87	74	68	83	98
hsa-miR-1255b-2-3p	0	0	0	0	0	0	0	0
hsa-miR-1255b-5p	0	0	0	0	0	0	0	0
hsa-miR-1256	2	0	1	1	0	0	0	0
hsa-miR-1257	62	56	19	35	25	20	16	13
hsa-miR-1258	0	0	1	1	1	1	5	0
hsa-miR-125a-3p	687	821	1103	550	578	745	532	629
hsa-miR-125a-5p	47745	38562	24752	39009	64765	57427	65900	73718
hsa-miR-125b-1-3p	0	0	0	0	0	0	0	0
hsa-miR-125b-2-3p	1646	1812	1261	1486	1963	2726	1570	1621
hsa-miR-125b-5p	2842	2688	2225	1602	2652	2696	1994	2258
hsa-miR-126-3p	15425	15507	15896	11220	12890	12025	12355	12861
hsa-miR-126-5p	4088	4188	3379	2069	2193	1988	2296	2142
hsa-miR-1260a	91	93	50	21	29	14	21	37
hsa-miR-1260b	165	124	88	28	21	17	20	58
hsa-miR-1261	2	1	0	0	2	1	1	0
hsa-miR-1262	6	10	4	11	11	11	11	11
hsa-miR-1263	0	0	1	0	0	0	0	0
hsa-miR-1264	0	0	0	0	0	0	0	0
hsa-miR-1265	2	1	2	1	1	1	1	3
hsa-miR-1266-3p	51	31	17	31	37	46	33	24
hsa-miR-1266-5p	799	725	494	992	919	1282	956	1013
hsa-miR-1267	0	2	0	0	0	1	0	1
hsa-miR-1268a	92	201	25	57	10	24	10	9
hsa-miR-1268b	131	247	28	73	24	39	14	20
hsa-miR-1269a	281	290	179	325	469	633	390	429
hsa-miR-1269b	0	0	0	0	0	0	0	0
hsa-miR-127-3p	1	7	4	6	4	4	5	6
hsa-miR-127-5p	0	0	0	0	0	2	0	0
hsa-miR-1270	0	0	0	0	0	0	0	0
hsa-miR-1271-3p	0	0	0	0	0	0	0	0
hsa-miR-1271-5p	0	2	3	1	2	4	2	2
hsa-miR-1272	0	0	0	0	0	0	0	0
hsa-miR-1273a	0	0	0	0	0	0	0	0
hsa-miR-1273c	4	7	8	5	7	5	1	1
hsa-miR-1273d	5	5	4	5	3	3	3	0
hsa-miR-1273f	0	0	0	0	0	0	0	0
hsa-miR-1273g-3p	0	0	0	0	0	0	0	0
hsa-miR-1273g-5p	0	0	0	0	0	0	0	0
hsa-miR-1273h-3p	0	0	0	0	0	0	0	0
hsa-miR-1273h-5p	0	0	0	0	0	0	0	0
hsa-miR-1275	99	101	91	46	34	36	18	18
hsa-miR-1276	420	388	198	411	507	694	594	641
hsa-miR-1277-3p	214	141	395	79	88	60	79	45
hsa-miR-1277-5p	69	49	40	54	46	40	38	28
hsa-miR-1278	32	20	12	17	27	17	30	26
hsa-miR-1279	0	0	0	0	0	0	0	0
hsa-miR-128-1-5p	46	40	17	18	29	31	16	19
hsa-miR-128-2-5p	0	1	0	0	0	0	0	0
hsa-miR-128-3p	5110	4468	3655	2584	3092	2982	2963	3062
hsa-miR-1281	0	0	0	0	0	0	0	0
hsa-miR-1282	0	0	0	2	1	0	0	1
hsa-miR-1283	362	339	324	149	133	151	162	135
hsa-miR-1284	26	17	11	9	8	6	12	8
hsa-miR-1285-3p	68	65	40	76	84	146	51	74
hsa-miR-1285-5p	1	1	0	0	0	0	0	0
hsa-miR-1286	28	7	27	23	11	19	11	15
hsa-miR-1287-3p	6	15	3	5	3	4	4	3
hsa-miR-1287-5p	418	455	361	356	388	618	464	477
hsa-miR-1288-3p	4	5	1	7	5	13	5	9
hsa-miR-1288-5p	1	3	0	1	0	5	1	4
hsa-miR-1289	5	3	4	3	5	9	7	1
hsa-miR-129-1-3p	0	0	0	2	0	0	0	0
hsa-miR-129-2-3p	3	4	6	3	2	0	4	1
hsa-miR-129-5p	99	127	60	97	130	205	105	140
hsa-miR-1290	0	0	0	0	0	0	0	1
hsa-miR-1291	21	10	5	15	17	21	13	13
hsa-miR-1292-3p	0	0	0	0	0	1	1	1
hsa-miR-1292-5p	497	598	349	445	372	542	331	390
hsa-miR-1293	157	165	95	118	113	135	109	141
hsa-miR-1294	17	10	17	15	11	14	7	6
hsa-miR-1295a	4	5	14	3	5	3	6	4
hsa-miR-1295b-3p	0	0	0	0	0	0	0	0
hsa-miR-1295b-5p	0	0	0	0	0	0	0	0
hsa-miR-1296-3p	4	1	5	0	1	0	1	2
hsa-miR-1296-5p	101	198	118	70	69	108	46	74
hsa-miR-1297	0	0	0	0	0	0	0	0
hsa-miR-1298-3p	1	0	0	0	0	0	0	0
hsa-miR-1298-5p	7	9	4	4	10	12	12	9
hsa-miR-1299	0	0	0	0	0	1	0	0
hsa-miR-1301-3p	837	827	938	499	415	639	346	410
hsa-miR-1301-5p	5	3	2	0	1	1	0	0
hsa-miR-1302	0	0	0	0	0	0	0	0
hsa-miR-1303	19	17	14	7	3	1	1	3
hsa-miR-1304-3p	219	169	94	238	315	277	306	333
hsa-miR-1304-5p	8	6	7	8	2	7	2	2
hsa-miR-1305	180	174	126	143	152	207	147	105
hsa-miR-1306-3p	17	29	12	8	11	26	19	16
hsa-miR-1306-5p	75	68	61	41	38	48	63	60
hsa-miR-1307-3p	10508	12761	7066	7437	6281	11296	6759	7544
hsa-miR-1307-5p	5924	3515	5420	4162	5770	8635	4004	2744
hsa-miR-130a-3p	0	2	4	0	1	0	0	0
hsa-miR-130a-5p	0	0	0	0	0	0	0	0
hsa-miR-130b-3p	3586	2736	2127	2886	2059	2770	2053	2325
hsa-miR-130b-5p	191	101	106	118	113	71	156	146
hsa-miR-132-3p	2632	2653	1666	2406	3033	2929	3467	3472
hsa-miR-132-5p	58	55	90	22	21	32	33	33
hsa-miR-1321	0	0	0	0	0	0	0	0
hsa-miR-1322	0	0	0	0	0	0	0	1
hsa-miR-1323	29	19	23	12	20	22	14	11
hsa-miR-1324	0	0	0	0	0	0	0	0
hsa-miR-133a-3p	2	3	1	0	0	0	0	0
hsa-miR-133a-5p	0	0	0	0	0	0	0	1
hsa-miR-133b	0	0	0	0	0	0	0	0
hsa-miR-134-3p	0	0	0	0	0	0	0	0
hsa-miR-134-5p	23	34	14	32	29	39	12	11
hsa-miR-1343-3p	37	27	27	37	30	43	37	48
hsa-miR-1343-5p	18	38	14	10	3	20	9	4
hsa-miR-135a-3p	5	1	0	0	1	2	0	0
hsa-miR-135a-5p	1067	728	1438	465	403	362	448	337
hsa-miR-135b-3p	255	256	219	221	292	295	257	278
hsa-miR-135b-5p	1060	654	1065	532	460	484	406	365
hsa-miR-136-3p	0	0	0	0	1	0	0	0
hsa-miR-136-5p	1	1	2	1	0	0	0	1
hsa-miR-137	1	2	0	3	7	7	2	2
hsa-miR-138-1-3p	0	0	0	0	0	0	0	0
hsa-miR-138-2-3p	0	0	0	0	0	0	0	0
hsa-miR-138-5p	24	19	10	18	17	27	28	26
hsa-miR-139-3p	26	21	11	13	10	16	4	9
hsa-miR-139-5p	58	52	26	21	36	45	50	75
hsa-miR-140-3p	16867	16398	9166	17950	26110	32337	23273	25414
hsa-miR-140-5p	1772	1647	2108	1254	1295	1766	1241	1303
hsa-miR-141-3p	216800	273601	462227	130225	123730	122650	120279	114896
hsa-miR-141-5p	4467	4273	4237	3928	6461	5731	6256	6063
hsa-miR-142-3p	96	85	83	53	47	64	59	65
hsa-miR-142-5p	1	1	2	3	2	1	0	0
hsa-miR-143-3p	2112	1860	2673	2708	3883	5007	2509	3006
hsa-miR-143-5p	16	22	3	2	3	8	1	5
hsa-miR-144-3p	3	0	2	2	0	1	1	1
hsa-miR-144-5p	54	43	52	32	44	31	36	36
hsa-miR-145-3p	72	99	8	13	5	13	6	7
hsa-miR-145-5p	33	44	38	9	17	24	19	14
hsa-miR-1468-3p	0	0	0	0	0	0	0	0
hsa-miR-1468-5p	7	8	9	4	4	7	10	8
hsa-miR-1469	0	0	0	0	0	0	0	0
hsa-miR-146a-3p	0	0	0	0	0	0	0	0
hsa-miR-146a-5p	10	32	2	5	14	14	11	15
hsa-miR-146b-3p	4	5	2	4	9	13	9	14
hsa-miR-146b-5p	10469	9449	6408	11948	14698	13805	16991	18527
hsa-miR-1470	0	0	0	0	0	0	0	0
hsa-miR-1471	0	0	0	0	0	0	0	0
hsa-miR-147a	0	0	0	0	0	0	0	0
hsa-miR-147b	14	7	15	7	7	15	6	6
hsa-miR-148a-3p	38283	26865	20302	33107	36581	35407	36837	36929
hsa-miR-148a-5p	810	638	436	651	962	1060	1248	1253
hsa-miR-148b-3p	48999	31846	30639	39397	40315	43965	28868	30358
hsa-miR-148b-5p	2072	2167	1625	1648	1635	2014	1729	1882
hsa-miR-149-3p	682	634	335	340	241	443	116	131
hsa-miR-149-5p	15243	15859	9369	11447	12360	14648	9255	9766
hsa-miR-150-3p	1	0	0	1	2	1	1	0
hsa-miR-150-5p	3	8	6	4	1	1	2	4
hsa-miR-151a-3p	66062	57739	32629	89088	113832	127993	101576	109114
hsa-miR-151a-5p	8884	6786	8361	4293	4536	4752	3746	4029
hsa-miR-151b	336	291	347	208	295	326	234	228
hsa-miR-152-3p	6108	4222	3747	5491	6262	7401	5505	5870
hsa-miR-152-5p	34	20	18	34	37	49	38	43
hsa-miR-153-3p	7	6	15	8	3	6	4	2
hsa-miR-153-5p	0	1	0	0	0	0	1	0
hsa-miR-1537-3p	1	2	1	0	1	0	1	0
hsa-miR-1537-5p	0	0	0	0	0	0	0	2
hsa-miR-1538	5	9	1	0	6	9	8	8
hsa-miR-1539	1	0	0	0	0	0	0	0
hsa-miR-154-3p	1	0	0	1	0	0	0	0
hsa-miR-154-5p	0	0	0	0	0	0	0	0
hsa-miR-155-3p	0	1	0	0	0	0	0	0
hsa-miR-155-5p	54	79	108	80	97	75	105	98
hsa-miR-1587	0	0	0	0	0	0	0	0
hsa-miR-15a-3p	7	15	23	2	8	4	2	1
hsa-miR-15a-5p	10172	10815	7320	7173	7256	7602	7034	7102
hsa-miR-15b-3p	241	176	223	66	63	39	48	59
hsa-miR-15b-5p	3481	2266	3727	2300	2024	1451	1959	1795
hsa-miR-16-1-3p	172	172	258	89	85	98	56	59
hsa-miR-16-2-3p	567	470	584	238	315	328	292	335
hsa-miR-16-5p	12952	9162	15532	10216	8758	7891	8559	8099
hsa-miR-17-3p	2027	1332	1327	993	1168	1662	1033	1165
hsa-miR-17-5p	28292	28239	23624	19875	18583	18241	18951	20145
hsa-miR-181a-2-3p	376	361	171	366	504	385	748	780
hsa-miR-181a-3p	6318	5728	2636	3750	5175	5667	5990	6234
hsa-miR-181a-5p	86763	100543	82678	77346	104578	130838	115703	128087
hsa-miR-181b-3p	386	296	122	115	124	109	107	107
hsa-miR-181b-5p	64025	69659	38794	64780	88205	108042	99588	105939
hsa-miR-181c-3p	400	370	280	354	459	708	506	527
hsa-miR-181c-5p	854	919	870	627	766	964	763	783
hsa-miR-181d-3p	2	1	2	1	1	1	0	1
hsa-miR-181d-5p	2029	2246	1033	1688	1845	2535	1935	1905
hsa-miR-182-3p	43	61	35	10	19	21	19	17
hsa-miR-182-5p	411693	358434	225606	497253	621757	495026	636289	668154
hsa-miR-1825	0	0	0	0	0	0	0	0
hsa-miR-1827	0	0	0	1	0	0	0	0
hsa-miR-183-3p	5681	6035	3420	3793	4439	4409	4719	4603
hsa-miR-183-5p	248247	196010	131618	228638	274021	264196	272318	288720
hsa-miR-184	322	312	311	387	474	509	350	349
hsa-miR-185-3p	425	443	378	214	211	357	181	232
hsa-miR-185-5p	18263	18798	21068	8611	7645	10904	6816	7405
hsa-miR-186-3p	135	125	68	105	125	160	126	122
hsa-miR-186-5p	36535	34528	21095	29038	33157	45119	37256	37707
hsa-miR-187-3p	90	104	66	74	93	141	79	72
hsa-miR-187-5p	0	1	1	0	0	3	0	1
hsa-miR-188-3p	2	18	3	6	7	15	5	5
hsa-miR-188-5p	714	797	402	490	625	925	593	597
hsa-miR-18a-3p	381	343	218	298	306	392	338	387
hsa-miR-18a-5p	15801	17002	9613	8965	7538	8345	8938	8323
hsa-miR-18b-3p	0	0	0	0	0	0	0	0
hsa-miR-18b-5p	35	37	24	25	24	19	11	13
hsa-miR-1908-3p	4	0	2	3	2	4	4	2
hsa-miR-1908-5p	18	20	30	9	7	10	8	8
hsa-miR-1909-3p	1	0	1	0	0	1	0	0
hsa-miR-1909-5p	3	2	1	1	0	0	1	0
hsa-miR-190a-3p	3	0	0	0	0	0	0	0
hsa-miR-190a-5p	1543	1417	1449	863	850	871	764	678
hsa-miR-190b	265	262	165	196	166	189	198	208
hsa-miR-191-3p	694	681	409	331	325	472	337	358
hsa-miR-191-5p	162825	102276	128681	102725	109176	79627	92976	109948
hsa-miR-1910-3p	1	10	6	3	2	5	5	4
hsa-miR-1910-5p	105	94	57	69	48	67	77	50
hsa-miR-1911-3p	6	4	2	5	6	3	2	8
hsa-miR-1911-5p	204	162	153	213	216	240	249	235
hsa-miR-1912	0	0	0	0	0	0	0	0
hsa-miR-1913	1	1	0	0	3	2	3	4
hsa-miR-1914-3p	48	34	17	28	21	24	40	30
hsa-miR-1914-5p	4	9	2	3	3	3	0	1
hsa-miR-1915-3p	18	28	20	15	13	22	9	13
hsa-miR-1915-5p	8	6	2	0	3	8	2	5
hsa-miR-192-3p	16	12	18	3	3	7	11	6
hsa-miR-192-5p	14599	15020	12508	16575	22954	27544	23634	24889
hsa-miR-193a-3p	968	851	1046	444	388	534	323	315
hsa-miR-193a-5p	3940	6154	3549	2023	1812	2947	1779	1991
hsa-miR-193b-3p	10104	13775	18167	7494	7922	11329	7533	8681
hsa-miR-193b-5p	2460	3215	2389	2143	1491	2346	1321	1518
hsa-miR-194-3p	136	95	27	55	54	110	38	53
hsa-miR-194-5p	4209	4041	2237	4351	6355	6393	6667	7055
hsa-miR-195-3p	43	51	34	49	89	98	77	80
hsa-miR-195-5p	157	158	325	179	163	149	196	195
hsa-miR-196a-3p	372	290	179	362	416	556	514	507
hsa-miR-196a-5p	32740	36133	18579	35659	41193	41434	57182	58769
hsa-miR-196b-3p	1	0	0	0	0	0	0	0
hsa-miR-196b-5p	560	588	364	617	730	747	755	756
hsa-miR-197-3p	1465	1499	1506	1034	1093	785	1195	1569
hsa-miR-197-5p	31	15	58	19	17	19	6	8
hsa-miR-1972	0	0	0	0	0	0	0	0
hsa-miR-1973	0	0	1	0	0	0	0	0
hsa-miR-1976	16	21	10	20	21	27	20	22
hsa-miR-198	0	0	0	0	0	0	0	0
hsa-miR-199a-3p	32	39	38	29	46	50	46	53
hsa-miR-199a-5p	5	5	2	0	2	5	1	1
hsa-miR-199b-3p	19	15	15	19	24	14	25	25
hsa-miR-199b-5p	14	31	20	13	15	11	23	15
hsa-miR-19a-3p	4562	5631	10993	1566	1279	1764	1447	1295
hsa-miR-19a-5p	10	1	2	0	2	0	2	0
hsa-miR-19b-1-5p	141	111	69	32	20	48	31	25
hsa-miR-19b-2-5p	0	0	0	1	0	0	0	0
hsa-miR-19b-3p	8460	10990	20493	2888	2324	2812	2500	2338
hsa-miR-200a-3p	25164	28568	25770	17947	20672	24155	20072	21404
hsa-miR-200a-5p	727	609	389	600	924	750	734	679
hsa-miR-200b-3p	42662	45903	39426	27567	32378	28788	32434	35008
hsa-miR-200b-5p	2570	2419	1985	1610	2070	1925	1703	2016
hsa-miR-200c-3p	919845	984756	693232	756531	836920	734049	881920	931619
hsa-miR-200c-5p	1130	1149	676	687	726	870	605	664
hsa-miR-202-3p	0	0	0	0	0	2	0	0
hsa-miR-202-5p	0	0	0	0	0	0	0	0
hsa-miR-203a	353888	314052	216313	383615	527127	510466	482490	477160
hsa-miR-203b-3p	924	826	702	694	826	762	754	740
hsa-miR-203b-5p	1607	1478	1118	1423	2020	2299	1907	1969
hsa-miR-204-3p	0	0	0	0	0	0	0	0
hsa-miR-204-5p	1	1	0	0	1	0	0	0
hsa-miR-205-3p	49	23	20	13	25	24	17	21
hsa-miR-205-5p	9593	7540	5714	6027	5971	6371	4675	4741
hsa-miR-2052	0	0	0	0	0	0	0	0
hsa-miR-2053	0	0	0	0	0	0	0	0
hsa-miR-2054	0	0	0	0	0	0	0	0
hsa-miR-206	1	3	3	0	1	1	0	6
hsa-miR-208a-3p	0	0	0	0	0	0	0	0
hsa-miR-208a-5p	0	0	0	0	0	0	0	0
hsa-miR-208b-3p	0	0	0	0	0	0	0	0
hsa-miR-208b-5p	0	0	0	0	0	0	0	0
hsa-miR-20a-3p	120	143	62	57	52	49	45	68
hsa-miR-20a-5p	86898	105178	104364	54980	48335	44680	49082	49615
hsa-miR-20b-3p	1	0	3	0	1	0	0	0
hsa-miR-20b-5p	333	348	186	193	205	221	234	194
hsa-miR-21-3p	33913	34587	23866	24322	30589	32383	26231	26793
hsa-miR-21-5p	17071136	16784295	15229476	15851408	17321934	17089171	17232987	17570118
hsa-miR-210-3p	4757	4659	14704	8232	12180	18302	12686	14573
hsa-miR-210-5p	12	12	160	97	158	108	182	192
hsa-miR-211-3p	0	0	0	0	0	0	0	0
hsa-miR-211-5p	0	0	0	0	0	0	0	0
hsa-miR-2110	699	473	790	442	308	425	192	254
hsa-miR-2113	0	0	0	1	0	0	0	1
hsa-miR-2114-3p	6	5	2	3	2	4	1	2
hsa-miR-2114-5p	7	5	6	2	6	5	9	5
hsa-miR-2115-3p	1	1	0	0	2	0	0	3
hsa-miR-2115-5p	0	0	0	0	1	0	0	0
hsa-miR-2116-3p	3	10	7	6	7	6	11	8
hsa-miR-2116-5p	0	2	2	2	0	0	1	2
hsa-miR-2117	0	0	0	1	0	0	0	2
hsa-miR-212-3p	46	38	72	26	28	35	41	48
hsa-miR-212-5p	17	10	11	8	16	16	23	18
hsa-miR-214-3p	0	0	0	0	0	0	0	0
hsa-miR-214-5p	0	2	0	0	0	0	0	0
hsa-miR-215-3p	0	1	0	0	4	1	0	0
hsa-miR-215-5p	105	81	60	128	195	250	146	163
hsa-miR-216a-3p	0	0	0	2	0	0	0	1
hsa-miR-216a-5p	4	3	4	3	0	6	5	0
hsa-miR-216b-3p	0	1	1	2	4	0	4	2
hsa-miR-216b-5p	2	0	6	2	0	0	3	4
hsa-miR-217	10	10	7	6	5	7	4	5
hsa-miR-218-1-3p	2	1	1	0	0	9	3	1
hsa-miR-218-2-3p	0	0	0	0	0	0	0	0
hsa-miR-218-5p	101	114	147	56	75	93	50	67
hsa-miR-219a-1-3p	171	158	75	172	171	323	195	179
hsa-miR-219a-2-3p	6	6	1	3	3	6	3	11
hsa-miR-219a-5p	55	28	27	21	12	22	13	15
hsa-miR-219b-3p	8	3	3	6	5	6	4	5
hsa-miR-219b-5p	4	14	15	6	6	9	8	11
hsa-miR-22-3p	7728	10464	16386	3196	2466	3553	2745	2618
hsa-miR-22-5p	147	146	134	49	65	68	43	56
hsa-miR-221-3p	2739	2494	1694	1156	1457	2191	1028	1171
hsa-miR-221-5p	363	306	308	249	192	192	115	136
hsa-miR-222-3p	2196	2040	2110	880	917	1162	603	668
hsa-miR-222-5p	361	417	124	113	124	83	85	88
hsa-miR-223-3p	0	5	0	0	0	0	0	0
hsa-miR-223-5p	0	0	0	0	0	1	0	0
hsa-miR-224-3p	0	0	1	0	0	0	0	0
hsa-miR-224-5p	42	50	24	24	35	24	20	13
hsa-miR-2276-3p	843	880	496	833	718	1065	865	866
hsa-miR-2276-5p	21	16	11	27	15	22	22	33
hsa-miR-2277-3p	19	47	49	26	28	52	31	27
hsa-miR-2277-5p	55	63	60	65	65	62	55	74
hsa-miR-2278	108	156	103	76	52	107	98	66
hsa-miR-2355-3p	88	85	75	58	88	144	134	128
hsa-miR-2355-5p	4	8	3	3	1	2	8	3
hsa-miR-2392	0	1	1	0	0	0	0	0
hsa-miR-23a-3p	39465	36492	38079	19116	20414	18894	23373	24454
hsa-miR-23a-5p	28	93	26	7	8	18	8	6
hsa-miR-23b-3p	33980	30950	23091	14795	16013	13710	18183	19413
hsa-miR-23b-5p	490	441	181	145	155	159	139	153
hsa-miR-23c	8	11	13	4	12	5	10	12
hsa-miR-24-1-5p	103	99	200	42	24	53	51	41
hsa-miR-24-2-5p	4908	5618	4115	2715	2648	2574	3036	2927
hsa-miR-24-3p	465703	590813	629917	353262	341617	409337	407387	416088
hsa-miR-2467-3p	2	3	0	0	0	0	0	0
hsa-miR-2467-5p	1	6	4	1	4	5	4	3
hsa-miR-25-3p	12593	9782	8601	9292	12081	12542	10922	12018
hsa-miR-25-5p	1197	607	1366	477	362	345	135	186
hsa-miR-2681-3p	0	0	0	0	0	0	0	0
hsa-miR-2681-5p	0	0	0	0	0	0	0	0
hsa-miR-2682-3p	0	0	0	0	0	0	0	0
hsa-miR-2682-5p	0	1	1	1	0	0	0	0
hsa-miR-26a-1-3p	18	12	10	6	19	11	14	12
hsa-miR-26a-2-3p	66	48	75	46	52	31	62	44
hsa-miR-26a-5p	35369	26443	44493	21648	21649	18398	18910	18711
hsa-miR-26b-3p	295	267	199	215	344	320	371	316
hsa-miR-26b-5p	20284	13657	18996	12684	11538	9091	10831	10189
hsa-miR-27a-3p	100726	85558	94012	84045	103464	95092	91070	95935
hsa-miR-27a-5p	8831	9411	7834	8736	12380	15188	14518	14658
hsa-miR-27b-3p	286588	224400	210477	196631	237045	246634	237529	246560
hsa-miR-27b-5p	14286	13965	5533	7688	7323	7928	6935	6873
hsa-miR-28-3p	7364	6494	3250	6548	10210	13482	9953	10581
hsa-miR-28-5p	3627	3044	3932	1874	2198	2524	2074	2182
hsa-miR-2861	0	0	0	0	0	0	0	0
hsa-miR-2909	0	0	0	0	0	0	0	0
hsa-miR-296-3p	2404	6337	1352	1704	800	1640	696	698
